Gen,Time,ProgSizeMean,ProgSizeStd,FitMean,FitStd
0,1383.133681,19.63671875,18.852539347744642,9105.687498387488,2005.4739911025367
1,1377.229706,20.115234375,17.863017447239457,7353.294090089295,2123.4786836660696
2,1366.806904,18.923828125,16.44535542776153,6748.621105532507,2213.805925034643
3,1438.068821,24.138671875,18.531954611801503,6512.608157974796,2127.907090114523
4,1508.607875,29.70703125,19.690868751645414,6500.454537251168,2281.5936165290714
5,1575.706251,34.052734375,17.167257029691996,5986.764267576287,1908.1110847771279
6,1614.218538,36.62109375,15.479971115700216,5772.722201945037,1766.0045063124749
7,1702.435043,42.4296875,14.548900839591756,5579.140651490821,1717.9478203920062
8,1779.439451,48.623046875,14.840780784217204,5642.766486334913,1741.7011670436204
9,1858.687382,52.9609375,13.41445644593848,5530.375461717808,1710.5004234393457
10,1835.962065,53.572265625,13.338683640990887,5530.255083413808,1641.7610829666517
11,1866.57002,54.56640625,13.47295485725135,5467.889293877348,1660.231426092203
12,1851.822638,53.298828125,13.82110809336201,5514.803083109773,1771.9500631504388
13,1855.063439,52.935546875,12.771843500701172,5414.428140283679,1655.962024251497
14,1842.794931,52.822265625,13.615716450167744,5434.338463719703,1704.3854492134828
15,1858.437372,54.451171875,13.291511582596362,5465.08662225166,1774.6968587441704
16,1871.187862,56.09765625,13.15068821629014,5361.412841436179,1702.8246019376963
17,1878.968114,57.08203125,14.018878117402146,5280.503217964875,1569.1713774013306
18,1910.947373,59.482421875,12.798677366055495,5363.617393900303,1586.693188081596
19,1925.091182,60.744140625,13.866877377939469,5416.283824972894,1712.836876253637
20,1946.558288,62.3671875,13.442100504846877,5246.256910686384,1495.6653106296774
21,1957.494955,63.09375,14.724282548860916,5236.743164961831,1516.1496914899753
22,1992.602411,65.884765625,14.548882861439385,5204.2936422237035,1407.2952683624878
23,2027.491391,67.8984375,13.613482962758708,5221.472872583911,1509.5490022826389
24,2043.777112,69.421875,13.623973680484333,5225.902931936503,1546.1234446578762
25,2047.044654,69.763671875,13.116174213384236,5216.131368923049,1600.9577528171021
26,2024.604477,67.978515625,13.729388794136366,5162.339623085675,1425.998257104577
27,2031.409967,67.818359375,15.26251917405405,5173.015097642983,1416.0924291377992
28,2084.69577,71.84375,14.229476654645547,5246.038152411671,1359.4929734232053
29,2088.991143,72.931640625,14.703296085599032,5189.080117008006,1241.2368999206165
30,2101.089015,73.783203125,14.218235887872886,5170.705701655792,1318.5263488974015
31,2064.846143,71.193359375,14.732204330039785,5103.1384040363155,1237.2309020708813
32,2030.635734,68.439453125,14.315064151977102,5166.060838865213,1414.0757674076297
33,2026.672862,68.05078125,13.38961822539748,5095.432868432197,1218.0784182185077
34,2049.52517,66.46875,14.175240347351464,5110.1686248398555,1298.9013280117774
35,2025.454448,65.232421875,15.00800319548504,5079.217542154524,1324.9391733016137
36,2013.557779,63.64453125,13.46305212814253,5199.632763010196,1436.9732615432715
37,1945.469951,58.642578125,14.8154229826947,5245.701213761971,1530.7545221763387
38,1883.127565,53.984375,14.384190504209407,5282.042262435242,1587.6485573501693
39,1829.032156,50.9453125,12.635074206173204,5279.667314810366,1603.255998154927
40,1818.067405,50.431640625,11.14277794519937,5365.040452314289,1634.2112652054846
41,1815.458628,50.23828125,11.668517911007022,5278.653555538572,1550.467126399405
42,1822.018035,50.578125,12.104859142437801,5260.1036079546975,1570.9025981924544
43,1852.895459,52.228515625,11.394744520262952,5358.744521343901,1604.2988327012126
44,1863.502272,52.505859375,13.049644468955046,5287.585595998512,1546.3563022511394
45,1893.239834,54.15234375,13.497917524294946,5311.10943474005,1627.5955667670594
46,1961.659386,57.44921875,12.928911556363053,5255.899777069954,1518.4485676106362
47,1985.851437,58.76953125,13.42302224801748,5203.465337720344,1455.0904299189542
48,1999.147954,60.123046875,13.514139298932728,5239.775795361266,1550.7182415914842
49,2011.661299,62.46484375,12.784809472582857,5212.83359240007,1527.3193390671454
50,2045.721266,64.1484375,13.046927762769318,5226.566937869145,1544.5931969139115
